ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,ImageURL
HP Victus Gaming Ryzen 5 Hexa Core 5600H,4.2,63,4,₹52990,₹66769,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/m/6/15-fb0121ax-gaming-laptop-hp-original-imagp39ksrhjaxfa.jpeg?q=70
HP 15s (2023) Ryzen 3 Dual Core 3250U,4.1,1616,156,₹29990,₹39995,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,731,77,₹47500,₹59108,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/l/u/-original-imagp7pf4hphhyhu.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,3128,267,₹34990,₹47279,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/v/9/-original-imagp7pfeutcgxrn.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,2571,246,₹42990,₹55691,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/9/-original-imagp7pfnchrzxhr.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.2,980,82,₹37990,₹49425,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/r/j/-original-imagp7pfqggfaqqm.jpeg?q=70
HP 15s (2023) Intel Core i3 13th Gen,3.8,26,4,₹46990,₹54552,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/p/-original-imagreh4byfrunc7.jpeg?q=70
HP Chromebook MediaTek Kompanio 500,3.8,6422,717,₹16990,₹25451,MediaTek MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/m/e/-original-imagkqwzw9cdvgj2.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2489,270,₹35490,₹47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.5,27,2,₹40990,₹49631,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/7/4/-original-imagp8xzmyz8jyua.jpeg?q=70
HP Chromebook x360 Intel Celeron Dual Core,4.2,167,17,₹17990,₹32295,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/p/m/9/14a-ca0506tu-thin-and-light-laptop-hp-original-imagbmtfbpbkvyqz.jpeg?q=70
HP OMEN Core i5,0,0,0,₹104990,₹118169,Intel Core i5 Processor,16 GB DDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/h/q/16-wd0880tx-gaming-laptop-hp-original-imagreqcruddse3n.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,2038,157,₹41980,₹54552,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/5/b/-original-imagp7pfkjydaptk.jpeg?q=70
HP 15s (2023) Intel Core i3 13th Gen,3.8,26,4,₹46990,₹54552,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/b/g/-original-imagregrjumdnhrb.jpeg?q=70
MSI Core i5 12th Gen,4.1,63,10,₹45990,₹67990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/h/a/-original-imagnqmwbbxzm8tp.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,401,29,₹46999,₹59241,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/e/v/-original-imagp7pgjf9zfwxp.jpeg?q=70
HP 15s (2023) Athlon Dual Core 3050U,4,1396,128,₹27990,₹35147,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
HP Intel Core i5 11th Gen,4.3,763,51,₹49990,₹56903,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/a/8/-original-imagp7pf86vm9mmj.jpeg?q=70
HP Laptop Core i3 11th Gen,4.2,256,18,₹35990,₹49025,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/u/-original-imagp7pgcy8e6eta.jpeg?q=70
HP 15s (2023) Intel Core i3 13th Gen,3.8,26,4,₹46990,₹54512,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/a/c/-original-imagreh9cuzdgut9.jpeg?q=70
HP Chromebook (2023) Intel Core i5 11th Gen,4.2,21,1,₹40990,₹72154,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kwv0djk0/computer/3/n/y/14c-cc0010tu-chromebook-hp-original-imag9g9mhckzhuqt.jpeg?q=70
HP (2023) Intel 12th Gen N305 Core i3,0,0,0,₹40990,₹51134,Intel Core i3 Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/r/2/-original-imagregrn6h96s9a.jpeg?q=70
HP Pavilion 15 (2023) Intel Core i3 12th Gen,0,0,0,₹49990,₹58175,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/2/m/-original-imagrgm4zysy8atx.jpeg?q=70
HP Core i3 11th Gen,4.3,1382,143,₹47990,₹50314,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kdoup3k0/computer/e/v/p/hp-original-imafujjhdwjjh9j8.jpeg?q=70
